StudentNo,学号,test_Score,Score1,Time1,Score2,Time2,Score3,Time3,Score4,Time4,Score5,Time5,Score6,Time6,Score7,Time7,Score8,Time8,Score9,Time9,Score10,Time10,correct_score,performance_score,rule_score,final_score,commit_times,commit_details
221801432,1432,65,8,24215,8,45854,8,57704,3,10034,8,51044,8,75997,8,1617,3,10925,3,68166,8,96056,19.5,0,3,22.5,16,"{""11"":""重新组织目录结构\n"",""12"":""Update codestyle.md\n\n更新了代码规范。\n"",""13"":""Copied from example\n"",""14"":""Delete 221801432"",""15"":""Create 221801432"",""0"":""Delete .gitignore\n"",""1"":""更正了输出格式\n"",""2"":""封装方法、删除中文注释\n"",""3"":""Merge branch 'main' of https://github.com/Nokill69/PersonalProject-Java into main\n"",""4"":""新增 统计有效行数、统计词频\n"",""5"":""Update README.md"",""6"":""完善了统计单词功能\n\n现在能将单词存入ArrayList中，重复的单词不会添加，只会增加词频\n"",""7"":""新增 将单词都转化为小写\n"",""8"":""Update WordCount.java\n"",""9"":""Update WordCount.java\n\n完成了统计单词数量的功能\n"",""10"":""实现第1个功能\n\n实现了统计字符功能\n""}"
221801429,1429,60,6,186,6,219,6,235,6,172,6,220,6,234,6,143,6,187,6,233,6,249,18,0,3,21,21,"{""11"":""Delete 221801429.iml"",""12"":""Delete 221801429/out/production/221801429 directory"",""13"":""Delete 221801429/.idea directory"",""14"":""Delete 1.txt"",""15"":""初步功能\n\n单词频率功能尚未完成\n"",""16"":""Update codestyle.md\n"",""17"":""Update codestyle.md\n"",""18"":""Create codestyle.md\n\n个人代码风格\n"",""19"":""Update README.md"",""0"":""Update README.md\n"",""1"":""Update README.md\n\n编写readme文档\n"",""2"":""小改动\n"",""3"":""稍微修改了代码\n"",""4"":""程序完善\n\n删除了函数中用于测试的代码\n"",""5"":""需求功能基本完成\n\n异常处理改进、单元测试完善待进行\n"",""6"":""写入文件功能完成\n\n命令行功能待调试，写入文件功能初步完成\n"",""7"":""控制台输出结果测试\n\n输出文件、命令行参数待完成\n"",""8"":""基本功能初步完成\n\n文件输出待更新\n"",""9"":""Revert \""Revert \""初步功能\""\""\n\nThis reverts commit 3dd528960e843d0730c01f80bd08163863353c92.\n"",""20"":""Create README.md"",""10"":""Revert \""初步功能\""\n\nThis reverts commit 4759a9a5724d0957b62ca0b02e12d524f3513dba.\n""}"
221801219,1219,50,3,253,8,266,3,267,8,230,8,269,3,285,8,181,3,222,3,267,3,283,15,0,3,18,11,"{""0"":""performance improvement\n"",""1"":""add comment for function\n"",""2"":""fix countline bug\n"",""3"":""update readme\n"",""4"":""update code style\n"",""5"":""update lib name and handle Exception\n"",""6"":""interface\n"",""7"":""output file\n"",""8"":""count top10 words\n"",""9"":""words count\n"",""10"":""open file and count words\n""}"
221801314,1314,50,3,309,8,364,8,350,3,269,3,347,3,364,3,178,3,282,8,347,8,352,15,0,3,18,16,"{""11"":""补充注释\n"",""12"":""初步完成词频统计功能，还需进一步测试验证正确性\n"",""13"":""初步完成countWords统计有效单词功能\n"",""14"":""初步完成文件读取和统计ASCII（但存在回车读取的bug）\n"",""15"":""my init\n"",""0"":""修剪一些无用代码，更新代码规范\n"",""1"":""针对代码规范调整，编写了代码规范\n"",""2"":""封装了静态Core类，方便进行api调用。\n"",""3"":""针对代码规范的一些调整\n"",""4"":""通过单元测试，删除了一些无意义的代码和注释\n"",""5"":""把统计功能开了多线程 提升性能，调整了单元测试\n"",""6"":""修正了统计单词量的功能，改为统计总数而非种类数量\n"",""7"":""性能优化String->StringBuilder\n"",""8"":""把原先分离的统计和输出函数整合成单一的统计top词频的函数 整理了一些之前的注释\n"",""9"":""修正了\\r\\n会被识别进总行数的bug\n"",""10"":""采用BufferedReader的read()修复了读入文件时换行符的问题\n""}"
221801115,1115,32,8,73910,0,2147483647,0,2147483647,8,37940,0,2147483647,0,2147483647,8,6978,8,41503,0,2147483647,0,2147483647,9.6,0,3,12.6,13,"{""11"":""添加统计字符数功能\n"",""12"":""first commit\n"",""0"":""修正统计行数功能\n"",""1"":""完善异常处理\n"",""2"":""编写了README文件\n"",""3"":""完善了程序的注释\n"",""4"":""修复了一些错误\n"",""5"":""把各功能封装到Lib.java内\n"",""6"":""修正统计有效行数功能\n"",""7"":""添加统计各单词出现次数功能\n"",""8"":""添加统计单词总数功能\n"",""9"":""添加统计有效行数功能\n"",""10"":""Update codestyle.md\n\n完善代码风格文档\n""}"
221801114,1114,30,3,263,3,289,3,308,3,221,3,304,3,318,3,179,3,220,3,303,3,342,9,0,3,12,30,"{""22"":""feat:get total words\n"",""23"":""feat:get characters\n"",""24"":""refactor:add function closeInputStream\n"",""25"":""feat:get lines\n"",""26"":""定义成员变量\n"",""27"":""代码规范最终版本 1\n"",""28"":""test .gitignore\n"",""29"":""add 221801114 directory\n"",""10"":""refactor:change inputstream\n"",""11"":""refactor:delete print code\n"",""12"":""refactor:change outputstream\n"",""13"":""feat:add outputstream\n"",""14"":""refactor:change inputstream of count word frequency\n"",""15"":""refactor:change inputstream of get word number\n"",""16"":""refactor:change inputstream of get character number\n"",""17"":""refactor:change inputstream of get line number\n"",""18"":""refactor:add Lib.java\n"",""19"":""feat:sort word frequency\n"",""0"":""最终版本2\n"",""1"":""最终版本\n"",""2"":""update codestyle\n"",""3"":""fix:change output order\n"",""4"":""fix:add splite code\n"",""5"":""fix:change int to long\n"",""6"":""fix:dispose \\t\n"",""7"":""refactor:change inputstream\n"",""8"":""edit README.md\n"",""9"":""fix:dispose line break\n"",""20"":""feat:judge word\n"",""21"":""feat:count word frequency\n""}"
221801410,1410,30,3,24088,3,37453,3,55209,3,12890,3,42291,3,65716,3,2930,3,15052,3,58186,3,87554,9,0,3,12,13,"{""11"":""countLine\n\n可以实现读入文件以及通过Function类来计算任何包含非空白字符的有效行数\n"",""12"":""write codestyle\n\n写下了代码规范以及复制了example的目录结构到学号文件夹下\n"",""0"":""RADME.md的书写\n\n对项目中的RADME.md的项目描述书写，以及更改了整个代码的编码为UTF-8，原本是GBK所以有乱码。将写代码时注释掉的测试语句删除，让代码看起来更简洁\n"",""1"":""complete function\n\n完善所有功能，实现按格式输出到指定文本，可以通过命令行窗口(cmd)直接输入参数来运行程序\n"",""2"":""toLower\n\n完善了单词的读入，原本是按一个单词读入的（如123file的后面的file也会读入），现在是按分隔符读入，读入完再判断是不是一个单词，并且最后以小写的方式存入\n"",""3"":""modify CompareRule\n\n完善整个排序功能，可以实现按照词频以及字典序排序，并且修改了原本的bug（符号使用错误导致0和9没读入）和逻辑不够缜密导致最后一个单词后如果不是分隔符会没办法存入的bug\n"",""4"":""add CompareRule\n\n添加一个新的比较规则类用于使用Colletions的sort方法来实现对频率最高的10个词的排序（还未实现同频率时按照字典序排）\n"",""5"":""add AddFrequent Function\n\n修改FindWord函数，返回值变为返回一个int类型的查找到重复单词的下标。在Word类中增加一个函数可以自增频率。以此找到重复单词后就可以直接通过下标来自增词频。再次符合代码规范，改掉了一些变量命名。\n"",""6"":""add FindWord function\n\n新增一个FindWord函数，用于查找vector容器中是否存在单词，返回值为boolean类型\n"",""7"":""add Word Class\n\n为了存储方便新编写了一个单词类用于存储单词的内容以及频率，添加了CountFrequentWord这个方法，目前还只实现了把单词存下来，展示出来有什么单词，还不能查重和算频率\n"",""8"":""CountWords\n\n完善了统计单词数的功能，可以达到4个英文字母开头才算一个单词的要求，改变了一下一行中过长的代码位置，更符合自己写的代码规范\n"",""9"":""CountWord\n\n可以实现从记事本中读取字符流，并且找出其中的英文字母实现拼接（该版本还未实现单词的识别以及计数）。\n"",""10"":""CountChar\n\n把上一次写的计算有效行数都封装进了CountLine方法中，新完成了计算字符数的功能，并封装到了CountChar方法中\n""}"
31801124,1124,30,1,221,6,252,1,268,6,189,6,270,1,284,6,143,1,202,1,265,1,288,9,0,3,12,17,"{""11"":""feat:countChars\n"",""12"":""feat:countWords\n"",""13"":""first commit\n"",""14"":""Revert \""Revert \""first\""\""\n\nThis reverts commit 703130464c414183201b2f11c62bdab66ec4bf83.\n"",""15"":""Revert \""first\""\n\nThis reverts commit db91e8b99a1fc4e5ee6f77074ffd33659933f2df.\n"",""16"":""first\n\ncreate a student number folder\n"",""0"":""fix: no space behind"",""1"":""Merge remote-tracking branch 'origin/main' into main\n"",""2"":""style : fix style\n"",""3"":""Update README.md"",""4"":""Delete 031801124/test directory"",""5"":""fix : countWords linecount fix\n"",""6"":""fix : countChars \tTests complete\n"",""7"":""fix : countChars\n"",""8"":""fix : countWords\n"",""9"":""fix : sort of countMost\n"",""10"":""feat : countMost\n""}"
221801330,1330,10,1,200,1,208,1,208,1,165,1,206,1,211,1,149,1,173,1,209,1,213,3,0,3,6,32,"{""22"":""Update codestyle.md"",""23"":""Update codestyle.md"",""24"":""Update codestyle.md"",""25"":""Update codestyle.md"",""26"":""Create Lib.java"",""27"":""Create WordCount.java"",""28"":""Delete src"",""29"":""Create README.md"",""30"":""Create codestyle.md"",""31"":""Create src"",""10"":""feat: 新增单词判断方法"",""11"":""feat: 新增字符数统计功能"",""12"":""feat: 新增字符数、单词数量、行数、单词出现频次的Set（）、Get（）方法"",""13"":""feat: 实现命令行输入以及输入异常状态下的判断"",""14"":""docs: 更新代码规范文档"",""15"":""docs: 更新代码规范文档"",""16"":""Update codestyle.md"",""17"":""Update codestyle.md"",""18"":""Update codestyle.md"",""19"":""Update codestyle.md"",""0"":""fix：bug修复"",""1"":""fix：bug修复"",""2"":""docs：编写描述文档"",""3"":""style：代码规范化"",""4"":""feat：需求功能的实现"",""5"":""style：代码规范化"",""6"":""feat: 部分代码注释"",""7"":""feat: 对单词数、行数、出现频次的计算"",""8"":""feat: 新增单词出现频次统计方法"",""9"":""feat: 新增单词数量统计方法"",""20"":""Update codestyle.md"",""21"":""Update codestyle.md""}"
221801209,1209,10,1,17744,1,29952,1,41282,1,9154,1,32164,1,41967,1,1562,1,9811,1,39132,1,52097,3,0,3,6,17,"{""11"":""完成charCount和lineCount\n"",""12"":""API的小修改以及单元测试的完成\n"",""13"":""完成API设计\n"",""14"":""确定了代码风格\n"",""15"":""init\n"",""16"":""init\n"",""0"":""换行统计的bug\n"",""1"":""python open r/w模式的特殊处理导致的bug\n"",""2"":""修复格式错误\n"",""3"":""空白字符定义修改\n"",""4"":""文件不存在错误处理\n"",""5"":""去除重复作业实现性能小优化\n"",""6"":""命令行程序WordCount完成\n"",""7"":""优化代码以及格式化代码\n"",""8"":""根据单元测试结果发现了bug，修改了API\n"",""9"":""完成topWord\n"",""10"":""完成wordCount\n""}"
221801218,1218,0,0,19454,0,30814,0,41469,0,12236,0,34561,0,43435,0,4886,0,17821,0,42270,0,51351,0,0,3,3,10,"{""0"":""- 完善README.md\n"",""1"":""- 完善字符统计判断逻辑\n"",""2"":""- 增加部分异常处理\n"",""3"":""- 增加代码规范\n"",""4"":"".gitignore update\n"",""5"":""- 修复行数计算时计算空行的问题\n"",""6"":""- 增加行数计算 CountLine\n- 增加文件读写编码UTF-8限制\n- 修正了函数count的命名\n"",""7"":""- 增加获取词频Top 10功能\n"",""8"":""- 移除CountWordFreq类\n- 完成CountWorld类\n"",""9"":""- 新建三个Count类\n- 完成CountChar类\n""}"
221801416,1416,0,0,106,0,99,0,99,0,101,0,99,0,100,0,98,0,99,0,101,0,98,0,0,0,0,8,"{""0"":""改了一下参数\n"",""1"":""每个冒号后面都加了空格且值相同时按key排序\n"",""2"":""改了一些bug\n"",""3"":""增加了代码规范和项目描述\n"",""4"":""增加了代码规范\n"",""5"":""将计算功能模块化\n"",""6"":""初步完成\n"",""7"":""add\n""}"
221801339,1339,0,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,0,3,3,16,"{""11"":""修改了src\n"",""12"":""Update README.md"",""13"":""Update README.md"",""14"":""修改了文件夹\n"",""15"":""修改文件夹\n"",""0"":""去除前面的包"",""1"":""修改文件格式\n"",""2"":""修改\n"",""3"":""修改了WordCount\n"",""4"":""使所有类都是用UTF编码\n"",""5"":""Merge branch 'main' of github.com:Zmeiting/PersonalProject-Java\n"",""6"":""添加了Test类进行大量数据测试\n"",""7"":""删掉了前面的包"",""8"":""删掉了前面的包"",""9"":""删掉了前面的包"",""10"":""Merge branch 'main' of github.com:Zmeiting/PersonalProject-Java\n""}"
221801214,1214,0,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,2147483647,0,0,3,3,17,"{""11"":""add qmkl\n\n添加统计单词数\n"",""12"":""add qmlk\n\n理解错计算字符数的意思,我以为是认为输入的\\n和\\t,做了修改\n"",""13"":""add qmlk\n\n添加了计算字符数\n"",""14"":""Create lzk"",""15"":""Delete 221801214"",""16"":""Create 221801214"",""0"":""add qmkl\n"",""1"":""add qmkl\n"",""2"":""add qmkl\n"",""3"":""add qmkl\n"",""4"":""add qmkl\n\n增加了代码规范和项目描述\n"",""5"":""add qmkl\n\n增加了命令行输入功能,修改了一些编译错误,其中有一些注释的中文错误,我不知道为什么,不知道是不是我的电脑用户名为中文的原因还是什么.\n"",""6"":""add qmkl\n\n修改了一些字符数和单词的bug,然后把这些数据存入文件\n"",""7"":""add qmkl\n\n增加了计算非空白行数\n"",""8"":""add qmkl\n\n把文件的绝对路径改成相对路径\n"",""9"":""add qmlk\n\n对存放单词的key和value进行了排序\n"",""10"":""add qmlk\n\n新增map来存入单词和单词数\n""}"
221801116,1116,0,0,98,0,98,0,98,0,101,0,98,0,98,0,100,0,98,0,100,0,101,0,0,3,3,13,"{""11"":""1\n\ntest\n"",""12"":""0\n"",""0"":""11.1\n\n冒号后面加一个空格\n"",""1"":""11\n\n最终\n"",""2"":""10\n\n修复了一些bug\n"",""3"":""9\n\n增加多线程处理\n"",""4"":""8\n\n增加计算字符，计算非空行，计算单词数返回结果int值的函数接口\n"",""5"":""7\n\n编码集统一设定为UTF-8\n"",""6"":""6\n\n添加了部分异常处理\n"",""7"":""5\n\n简单输出\n"",""8"":""4\n\n对字典进行排序\n"",""9"":""3\n\n计算行数\n"",""10"":""2\n\n计算单词数，统计单词词频\n""}"
221801216,1216,0,0,102,0,98,0,97,0,99,0,97,0,99,0,101,0,98,0,98,0,100,0,0,3,3,16,"{""11"":""新增文件读取，转化成字符串的函数\n"",""12"":""新增统计有效行数的函数\n"",""13"":""新增统计单词个数的函数\n"",""14"":""新增统计文件字符数的函数\n"",""15"":""建立三个类，分别为处理文件的(FileDeal)、处理单词的(WordDeal)、主函数(WordCount)\n"",""0"":""将换行标准修改\n"",""1"":""修改格式：冒号后带个空格\n"",""2"":""省略文件\n"",""3"":""省略gitignore文件和排版下README.md文件\n"",""4"":""编写REDAME.md，在WordDealTest上增加测试用例，其余函数做细节方面小的修改\n"",""5"":""修改代码规范，WordCount修改小细节\n"",""6"":""新增单元测试\n"",""7"":""编写代码规范\n"",""8"":""把排完序的List元素筛出前十个\n"",""9"":""新增统计单词词频的函数\n"",""10"":""新增写入输出文件的函数\n""}"
221801110,1110,0,0,104,0,96,0,98,0,102,0,98,0,97,0,99,0,87,0,107,0,100,0,0,3,3,16,"{""11"":""实现统计文件的有效行数功能\n"",""12"":""实现统计文件的字符数功能\n"",""13"":""代码规范\n"",""14"":""代码规范\n"",""15"":""添加文件\n"",""0"":""第十三次commit\n"",""1"":""第十二次commit\n"",""2"":""第十一次commit\n"",""3"":""第十次commit\n"",""4"":""第九次commit\n"",""5"":""第八次commit\n"",""6"":""第七次commit\n"",""7"":""Update codestyle.md\n"",""8"":""函数打包Lib.java，并实现统计单词数功能\n"",""9"":""Update codestyle.md\n"",""10"":""Update WordCount.java\n""}"
221801111,1111,0,0,102,0,99,0,99,0,98,0,97,0,98,0,96,0,96,0,99,0,96,0,0,3,3,13,"{""11"":""Delete 221801111"",""12"":""Create 221801111"",""0"":""fourth-modify\n"",""1"":""fourth-modify\n"",""2"":""sixth-modify\n"",""3"":""sixth\n"",""4"":""fifth-add\n"",""5"":""fifth\n"",""6"":""fourth\n"",""7"":""third\n"",""8"":""second\n"",""9"":""first\n"",""10"":""Create 221801111""}"
